epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,2199.79,0.74556,0.59096,0.93832,0.99759,1,0.995,0.76678,0.93796,0.63436,0.87332,0.000812,0.000812,0.000812
32,2253.09,0.77052,0.64911,0.94328,0.99758,1,0.995,0.75515,0.90886,0.66044,0.8623,0.0007724,0.0007724,0.0007724
33,2306,0.72579,0.62081,0.92942,0.99762,1,0.995,0.74543,0.85331,0.63347,0.85274,0.0007328,0.0007328,0.0007328
34,2359.5,0.69885,0.60411,0.90112,0.99766,1,0.995,0.76127,0.81147,0.63933,0.84172,0.0006932,0.0006932,0.0006932
35,2413.38,0.73515,0.61093,0.93938,0.99761,1,0.995,0.77612,0.80636,0.61036,0.83897,0.0006536,0.0006536,0.0006536
36,2474.35,0.72457,0.61406,0.93531,0.99747,1,0.995,0.77068,0.86566,0.58613,0.84414,0.000614,0.000614,0.000614
37,2527.17,0.71429,0.59408,0.95015,0.99741,1,0.995,0.77124,0.84231,0.59056,0.83891,0.0005744,0.0005744,0.0005744
38,2579.61,0.7176,0.56402,0.9142,0.99741,1,0.995,0.80464,0.78644,0.57433,0.8238,0.0005348,0.0005348,0.0005348
39,2633.84,0.72639,0.5494,0.93663,0.99737,1,0.995,0.80441,0.77949,0.5747,0.82263,0.0004952,0.0004952,0.0004952
40,2689.14,0.71249,0.55385,0.9315,0.99745,1,0.995,0.81179,0.74856,0.56816,0.82289,0.0004556,0.0004556,0.0004556
41,2743.06,0.66279,0.78001,0.90103,0.99737,1,0.995,0.8166,0.73966,0.57555,0.82167,0.000416,0.000416,0.000416
42,2794.3,0.63445,0.71133,0.89843,0.99681,1,0.995,0.80009,0.73585,0.6121,0.81551,0.0003764,0.0003764,0.0003764
43,2845.51,0.67065,0.69111,0.92125,0.99633,1,0.995,0.80606,0.76586,0.64351,0.81804,0.0003368,0.0003368,0.0003368
44,2896.41,0.67526,0.73417,0.87773,0.99527,1,0.995,0.79745,0.77229,0.66353,0.82194,0.0002972,0.0002972,0.0002972
45,2948.43,0.66167,0.71436,0.88076,0.99576,1,0.995,0.78758,0.76083,0.64869,0.82018,0.0002576,0.0002576,0.0002576
46,3003.19,0.61187,0.67598,0.87694,0.99707,1,0.995,0.75991,0.76371,0.5892,0.81976,0.000218,0.000218,0.000218
47,3056.56,0.63259,0.65248,0.87288,0.9973,1,0.995,0.75542,0.76672,0.56289,0.8217,0.0001784,0.0001784,0.0001784
48,3110.69,0.60581,0.63135,0.87059,0.99751,1,0.995,0.76995,0.77409,0.52922,0.82241,0.0001388,0.0001388,0.0001388
49,3164.52,0.61076,0.60802,0.84379,0.99756,1,0.995,0.79458,0.77938,0.51808,0.82214,9.92e-05,9.92e-05,9.92e-05
50,3218.54,0.60742,0.6149,0.85604,0.99762,1,0.995,0.79553,0.78647,0.50284,0.82156,5.96e-05,5.96e-05,5.96e-05
