epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.888,0.86591,2.72777,1.05142,0.00333,1,0.99192,0.65823,0.87476,2.7476,0.87161,0.0001,0.0001,0.0001
2,257.988,0.91723,1.52385,1.01461,1,0.99505,0.995,0.6698,0.93398,1.97604,0.89877,0.000215644,0.000215644,0.000215644
3,327.769,0.92551,1.20378,0.99154,0.99525,1,0.995,0.66416,1.0354,2.13579,0.89012,0.000326536,0.000326536,0.000326536
4,404.471,0.91461,1.14695,0.99331,0.97833,1,0.995,0.72746,0.93003,1.89545,0.90541,0.000432676,0.000432676,0.000432676
5,475.186,0.84331,1.07606,0.97207,1,0.98634,0.995,0.75517,0.89705,1.82349,0.90695,0.000534064,0.000534064,0.000534064
6,552.301,0.86975,1.08553,0.98955,1,0.81827,0.99026,0.75716,0.89681,2.09117,0.87771,0.0006307,0.0006307,0.0006307
7,619.899,0.95611,1.02051,0.99395,1,0.74799,0.995,0.7544,0.94251,2.17072,0.88483,0.000722584,0.000722584,0.000722584
8,689.202,0.90251,1.02608,0.97643,0.99944,1,0.995,0.7256,0.95481,1.98292,0.90679,0.000809716,0.000809716,0.000809716
9,755.211,0.91233,0.95827,0.97202,1,0.583,0.81337,0.59255,1.09032,2.50009,1.05182,0.000892096,0.000892096,0.000892096
10,824.976,0.90296,1.00146,0.99515,0.97515,0.66667,0.81251,0.61891,0.97215,2.17392,0.99037,0.000969724,0.000969724,0.000969724
11,891.618,0.82953,0.89817,0.97853,1,0.91428,0.995,0.77687,0.9109,1.63222,0.89416,0.0010426,0.0010426,0.0010426
12,963.747,0.82112,0.86164,0.95711,0.9898,1,0.995,0.70563,0.97028,1.65881,0.92817,0.00111072,0.00111072,0.00111072
13,1032.47,0.85074,0.87985,0.95714,0.9888,1,0.995,0.72311,1.00183,1.51708,0.87974,0.0011741,0.0011741,0.0011741
14,1100.21,0.83733,0.8691,0.98063,0.99313,1,0.995,0.68635,1.05416,1.31804,0.91856,0.00123272,0.00123272,0.00123272
15,1163.46,0.78413,0.81796,0.93757,1,0.99496,0.995,0.7182,1.00713,1.29146,0.92126,0.00128658,0.00128658,0.00128658
16,1226.49,0.8168,0.83529,0.9594,0.98847,1,0.995,0.73506,0.89504,1.45908,0.8872,0.0013357,0.0013357,0.0013357
17,1291.22,0.84223,0.8388,0.98147,0.92133,0.9764,0.98692,0.73388,0.90689,1.5332,0.87533,0.0013664,0.0013664,0.0013664
18,1362.34,0.77902,0.80234,0.95245,0.99722,1,0.995,0.75628,0.97191,0.93528,0.87339,0.0013268,0.0013268,0.0013268
19,1457.22,0.77779,0.80283,0.92636,1,0.99827,0.995,0.79101,0.91027,0.98283,0.86062,0.0012872,0.0012872,0.0012872
20,1521.6,0.80893,0.79029,0.9475,0.99702,1,0.995,0.77604,0.88599,0.91441,0.85329,0.0012476,0.0012476,0.0012476
21,1584.01,0.79302,0.74624,0.97109,0.99679,1,0.995,0.77236,0.90143,0.83829,0.86129,0.001208,0.001208,0.001208
22,1645.03,0.81158,0.72481,0.95785,0.99741,1,0.995,0.76371,0.89897,0.74687,0.86227,0.0011684,0.0011684,0.0011684
23,1710,0.79396,0.71175,0.95945,0.99748,1,0.995,0.7545,0.88376,0.74428,0.8502,0.0011288,0.0011288,0.0011288
24,1769.18,0.75994,0.69151,0.92691,0.99769,1,0.995,0.76607,0.84272,0.70902,0.84962,0.0010892,0.0010892,0.0010892
25,1838.04,0.80776,0.74742,0.98197,0.99762,1,0.995,0.78938,0.82644,0.69098,0.83642,0.0010496,0.0010496,0.0010496
26,1895.92,0.78566,0.67149,0.93611,0.99727,1,0.995,0.77131,0.86122,0.69495,0.85938,0.00101,0.00101,0.00101
27,1953.65,0.77722,0.65505,0.94066,0.99693,1,0.995,0.78896,0.85144,0.70472,0.85158,0.0009704,0.0009704,0.0009704
28,2016.06,0.80929,0.65429,0.94723,0.99646,1,0.995,0.78847,0.93118,0.77695,0.8549,0.0009308,0.0009308,0.0009308
29,2080.42,0.75789,0.65786,0.94752,0.99717,1,0.995,0.80897,0.90855,0.74499,0.85659,0.0008912,0.0008912,0.0008912
30,2143.19,0.77344,0.63904,0.94684,0.99742,1,0.995,0.78196,0.88909,0.62554,0.85974,0.0008516,0.0008516,0.0008516
